id,Gender,Customer Type,Age,Type of Travel,Ease of Online booking,Baggage handling,Inflight service,Arrival Delay in Minutes,satisfaction
1,Male,disloyal Customer,32,Business travel,3,5,1,132,neutral or dissatisfied
2,Male,disloyal Customer,26,Personal Travel,5,4,3,112,satisfied
3,Female,disloyal Customer,24,Business travel,4,5,4,173,neutral or dissatisfied
4,Male,disloyal Customer,43,Business travel,4,4,2,172,neutral or dissatisfied
5,Female,Loyal Customer,41,Personal Travel,3,4,2,20,satisfied
6,Female,disloyal Customer,29,Business travel,5,1,1,77,neutral or dissatisfied
7,Male,disloyal Customer,77,Personal Travel,4,2,3,149,satisfied
8,Male,Loyal Customer,37,Personal Travel,3,4,5,29,satisfied
9,Female,disloyal Customer,73,Business travel,4,3,4,22,neutral or dissatisfied
10,Female,disloyal Customer,31,Business travel,2,4,4,4,neutral or dissatisfied
11,Female,disloyal Customer,39,Business travel,2,3,1,62,neutral or dissatisfied
12,Female,disloyal Customer,33,Personal Travel,3,1,3,58,satisfied
13,Female,disloyal Customer,46,Personal Travel,4,3,2,81,satisfied
14,Female,Loyal Customer,49,Business travel,3,1,2,51,neutral or dissatisfied
15,Female,Loyal Customer,36,Business travel,1,1,5,64,satisfied
16,Male,Loyal Customer,72,Personal Travel,3,1,2,38,neutral or dissatisfied
17,Female,Loyal Customer,52,Business travel,3,3,4,2,neutral or dissatisfied
18,Male,Loyal Customer,60,Business travel,2,3,5,169,neutral or dissatisfied
19,Male,disloyal Customer,49,Personal Travel,2,1,3,70,neutral or dissatisfied
20,Female,disloyal Customer,72,Business travel,4,1,5,154,satisfied
21,Female,disloyal Customer,70,Business travel,3,2,3,155,neutral or dissatisfied
22,Female,disloyal Customer,37,Business travel,3,1,2,181,satisfied
23,Female,disloyal Customer,68,Business travel,4,5,1,14,satisfied
24,Female,disloyal Customer,57,Personal Travel,5,2,5,180,satisfied
25,Male,disloyal Customer,37,Personal Travel,4,2,5,71,satisfied
26,Male,disloyal Customer,25,Personal Travel,2,2,4,69,satisfied
27,Female,disloyal Customer,75,Personal Travel,2,5,4,3,satisfied
28,Female,disloyal Customer,52,Business travel,3,2,3,93,neutral or dissatisfied
29,Female,disloyal Customer,59,Business travel,2,2,1,144,satisfied
30,Female,disloyal Customer,30,Business travel,4,3,4,33,neutral or dissatisfied
31,Male,disloyal Customer,58,Business travel,3,3,4,123,satisfied
32,Male,Loyal Customer,23,Personal Travel,4,1,2,133,neutral or dissatisfied
33,Male,disloyal Customer,64,Business travel,4,1,2,35,neutral or dissatisfied
34,Female,Loyal Customer,33,Business travel,3,4,4,98,satisfied
35,Female,disloyal Customer,22,Personal Travel,5,5,3,166,neutral or dissatisfied
36,Female,disloyal Customer,70,Personal Travel,2,3,1,79,neutral or dissatisfied
37,Male,disloyal Customer,62,Personal Travel,1,1,4,65,satisfied
38,Male,Loyal Customer,68,Business travel,1,5,3,135,satisfied
39,Male,Loyal Customer,51,Personal Travel,1,2,3,142,satisfied
40,Female,disloyal Customer,23,Business travel,2,5,4,190,satisfied
41,Male,disloyal Customer,76,Business travel,5,3,3,90,satisfied
42,Female,disloyal Customer,50,Personal Travel,4,4,5,79,satisfied
43,Male,disloyal Customer,32,Personal Travel,3,3,3,192,satisfied
44,Female,Loyal Customer,32,Personal Travel,5,1,4,58,satisfied
45,Female,Loyal Customer,31,Business travel,1,1,3,9,neutral or dissatisfied
46,Female,disloyal Customer,56,Business travel,2,5,4,6,satisfied
47,Female,Loyal Customer,22,Business travel,2,3,2,111,neutral or dissatisfied
48,Male,Loyal Customer,69,Personal Travel,3,1,4,75,satisfied
49,Male,disloyal Customer,74,Business travel,4,2,3,11,satisfied
50,Male,disloyal Customer,43,Business travel,5,2,4,78,satisfied
51,Female,disloyal Customer,65,Business travel,5,4,1,45,satisfied
52,Male,Loyal Customer,34,Business travel,5,5,4,31,neutral or dissatisfied
53,Female,disloyal Customer,60,Personal Travel,4,1,4,159,neutral or dissatisfied
54,Male,Loyal Customer,64,Business travel,4,4,1,114,satisfied
55,Male,disloyal Customer,69,Personal Travel,4,2,1,113,neutral or dissatisfied
56,Female,disloyal Customer,33,Personal Travel,3,4,1,125,satisfied
57,Female,Loyal Customer,52,Business travel,2,4,5,89,neutral or dissatisfied
58,Female,Loyal Customer,55,Business travel,1,1,4,60,satisfied
59,Male,Loyal Customer,70,Personal Travel,4,1,1,196,neutral or dissatisfied
60,Female,Loyal Customer,40,Business travel,2,1,1,60,neutral or dissatisfied
61,Male,Loyal Customer,30,Personal Travel,4,5,2,101,neutral or dissatisfied
62,Male,Loyal Customer,50,Business travel,1,4,5,113,satisfied
63,Male,disloyal Customer,46,Business travel,4,4,4,173,neutral or dissatisfied
64,Female,Loyal Customer,70,Personal Travel,2,5,3,195,satisfied
65,Male,Loyal Customer,63,Business travel,3,2,5,91,neutral or dissatisfied
66,Female,disloyal Customer,51,Personal Travel,1,3,5,182,satisfied
67,Female,Loyal Customer,51,Personal Travel,2,2,2,128,satisfied
68,Male,Loyal Customer,44,Business travel,5,5,4,106,satisfied
69,Male,disloyal Customer,32,Personal Travel,5,4,4,194,neutral or dissatisfied
70,Male,disloyal Customer,76,Business travel,5,4,1,48,neutral or dissatisfied
71,Male,disloyal Customer,67,Business travel,3,1,1,24,satisfied
72,Female,Loyal Customer,26,Business travel,4,1,5,15,satisfied
73,Female,disloyal Customer,43,Personal Travel,4,4,2,140,satisfied
74,Female,Loyal Customer,20,Business travel,4,4,4,179,neutral or dissatisfied
